id,series_title,series_year,issue,pub_month,pub_year
1,Fantastic Four ,1961,1,11,1961 
2,Fantastic Four ,1961,2,01,1962 
3,Tales to Astonish ,1958,27,01,1962 
4,Fantastic Four ,1961,3,03,1962 
5,Fantastic Four ,1961,4,05,1962 
6,Tales to Astonish ,1958,29,03,1962 
7,Tales to Astonish ,1958,30,04,1962 
8,Incredible Hulk ,1962,1,05,1962 
9,Tales to Astonish ,1958,32,06,1962 
10,Incredible Hulk ,1962,2,07,1962 
11,Amazing Adult Fantasy ,1961,14,07,1962 
12,Fantastic Four ,1961,5,07,1962 
13,Amazing Fantasy ,1962,15,08,1962 
14,Journey into Mystery ,1952,83,08,1962 
15,Journey into Mystery ,1952,84,09,1962 
16,Incredible Hulk ,1962,3,09,1962 
17,Fantastic Four ,1961,6,09,1962 
18,Tales to Astonish ,1958,35,09,1962 
19,Journey into Mystery ,1952,85,10,1962 
20,Fantastic Four ,1961,7,10,1962 
21,Strange Tales ,1951,101,10,1962 
22,Tales to Astonish ,1958,36,10,1962 
23,Journey into Mystery ,1952,86,11,1962 
24,Strange Tales ,1951,102,11,1962 
25,Incredible Hulk ,1962,4,11,1962 
26,Incredible Hulk ,1962,4,11,1962 
27,Fantastic Four ,1961,8,11,1962 
28,Tales to Astonish ,1958,37,11,1962 
29,Strange Tales ,1951,103,12,1962 
30,Fantastic Four ,1961,9,12,1962 
31,Journey into Mystery ,1952,87,12,1962 
32,Tales to Astonish ,1958,38,12,1962 
33,Incredible Hulk ,1962,5,01,1963 
34,Incredible Hulk ,1962,5,01,1963 
35,Journey into Mystery ,1952,88,01,1963 
36,Strange Tales ,1951,104,01,1963 
37,Fantastic Four ,1961,10,01,1963 
38,Tales to Astonish ,1958,39,01,1963 
39,Strange Tales ,1951,105,02,1963 
40,Journey into Mystery ,1952,89,02,1963 
41,Fantastic Four ,1961,11,02,1963 
42,Fantastic Four ,1961,11,02,1963 
43,Tales to Astonish ,1958,40,02,1963 
44,Strange Tales ,1951,106,03,1963 
45,Strange Tales ,1951,107,04,1963 
46,Fantastic Four ,1961,12,03,1963 
47,Journey into Mystery ,1952,90,03,1963 
48,Incredible Hulk ,1962,6,03,1963 
49,Tales of Suspense ,1959,39,03,1963 
50,Tales of Suspense ,1959,39,03,1963 
51,Tales to Astonish ,1958,41,03,1963 
52,Amazing Spider-Man ,1963,1,03,1963 
53,Amazing Spider-Man ,1963,1,03,1963 
54,Journey into Mystery ,1952,91,04,1963 
55,Strange Tales ,1951,108,05,1963 
56,Strange Tales ,1951,108,05,1963 
57,Amazing Spider-Man ,1963,2,05,1963 
58,Amazing Spider-Man ,1963,2,05,1963 
59,Fantastic Four ,1961,13,04,1963 
60,Tales to Astonish ,1958,42,04,1963 
61,Tales of Suspense ,1959,40,04,1963 
62,Journey into Mystery ,1952,92,05,1963 
63,Fantastic Four ,1961,14,05,1963 
64,Tales to Astonish ,1958,43,05,1963 
65,Tales of Suspense ,1959,41,05,1963 
66,Journey into Mystery ,1952,93,06,1963 
67,Amazing Spider-Man ,1963,3,07,1963 
68,Strange Tales ,1951,109,06,1963 
69,Tales to Astonish ,1958,44,06,1963 
70,Tales of Suspense ,1959,42,06,1963 
71,Strange Tales ,1951,110,07,1963 
72,Strange Tales ,1951,110,07,1963 
73,Journey into Mystery ,1952,94,07,1963 
74,Tales to Astonish ,1958,45,07,1963 
75,Tales of Suspense ,1959,43,07,1963 
76,Fantastic Four ,1961,15,06,1963 
77,Strange Tales ,1951,111,08,1963 
78,Strange Tales ,1951,111,08,1963 
79,Fantastic Four ,1961,16,07,1963 
80,Fantastic Four ,1961,17,08,1963 
81,Journey into Mystery ,1952,95,08,1963 
82,Tales to Astonish ,1958,46,08,1963 
83,Tales of Suspense ,1959,44,08,1963 
84,Fantastic Four ,1961,18,09,1963 
85,Amazing Spider-Man ,1963,4,09,1963 
86,X-Men ,1963,1,09,1963 
87,Amazing Spider-Man ,1963,5,10,1963 
88,Strange Tales ,1951,112,09,1963 
89,Strange Tales Annual ,1962,2,10,1963 
90,Fantastic Four Annual ,1963,1,07,1963 
91,Fantastic Four Annual ,1963,1,07,1963 
92,Journey into Mystery ,1952,96,09,1963 
93,Journey into Mystery ,1952,96,09,1963 
94,Avengers ,1963,1,09,1963 
95,Tales of Suspense ,1959,45,09,1963 
96,Tales to Astonish ,1958,47,09,1963 
97,Strange Tales ,1951,113,10,1963 
98,Fantastic Four ,1961,19,10,1963 
99,Journey into Mystery ,1952,97,10,1963 
100,Journey into Mystery ,1952,97,10,1963 
101,Tales of Suspense ,1959,46,10,1963 
102,Tales to Astonish ,1958,48,10,1963 
103,Strange Tales ,1951,114,11,1963 
104,Strange Tales ,1951,114,11,1963 
105,Fantastic Four ,1961,20,11,1963 
106,X-Men ,1963,2,11,1963 
107,Amazing Spider-Man ,1963,6,11,1963 
108,Journey into Mystery ,1952,98,11,1963 
109,Journey into Mystery ,1952,98,11,1963 
110,Tales of Suspense ,1959,47,11,1963 
111,Tales to Astonish ,1958,49,11,1963 
112,Avengers ,1963,2,11,1963 
113,Amazing Spider-Man ,1963,7,12,1963 
114,Strange Tales ,1951,115,12,1963 
115,Strange Tales ,1951,115,12,1963 
116,Fantastic Four ,1961,21,12,1963 
117,Tales of Suspense ,1959,48,12,1963 
118,Tales to Astonish ,1958,50,12,1963 
119,Tales to Astonish ,1958,51,01,1964 
120,Tales to Astonish ,1958,51,01,1964 
121,Strange Tales ,1951,116,01,1964 
122,Strange Tales ,1951,116,01,1964 
123,Amazing Spider-Man ,1963,8,01,1964 
